"web_scraper_order","web_scraper_start_url","price","name","brand","data","data2","data3","image","Brand","Ref","Sex","Movement","Case diametr, mm","Case material","Strap","Complications","Condition report","Waterproof","Caliber","SKU","Case shape","Insert"
"1773071530-65","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Vacheron Constantin HISTORIQUES 37 MM YELLOW GOLD","Vacheron Constantin","","","","","Vacheron Constantin","4200H/222J-B935","Male","","37","Yellow Gold","Bracelet","Mechanical self-winding, Date","Worn once","50 m","2455/2","927","",""
"1773071530-66","https://watchlab.ae/catalog/watch/","Our price:                                                                        312 000 AED                                                                                            Retail price:  138 000 AED","Hublot Classic Fusion Tourbillon Sapphire Orlinski","Hublot","","","","","Hublot","505.JX.6910.RT.ORL19","","Manual","45","Sapphire","Rubber","Mechanical hand-wound, Tourbillon, Power reserve indicator","TEXT","30 м","","17023","",""
"1773071530-67","https://watchlab.ae/catalog/watch/","Our price:                                                                        23 900 AED                                                                                            Retail price:  30 500 AED","Breitling AVIATOR 8 B01 CHRONOGRAPH 43 CURTISS WARHAWK","Breitling","","","","","Breitling","AB01192A1L1A1","Male","","43","Steel","","Mechanical self-winding, Chronograph, Date","Brand new","100 m","Breitling Caliber 01 in-house movement","567","",""
"1773071530-68","https://watchlab.ae/catalog/watch/","Our price:                                                                        120 000 AED                                                                                            Retail price:  189 952 AED","Franck Muller Vanguard Skeleton 7 days power reserve Rose gold 45mm","Franck Muller","","","","","Franck Muller","V 45 S6 SQT 5N NR","Male","Automatic","44","Rose gold","Leather","Mechanical hand-wound","Brand new","30 m","","7088","Barrel",""
"1773071530-69","https://watchlab.ae/catalog/watch/","Our price:                                                                        20 000 AED","Breitling AVENGER CHRONOGRAPH GMT 45 MM","Breitling","","","","","Breitling","A24315101B1X1","Male","","45","Steel","","Mechanical self-winding, Chronograph, Second time zone, Date","Brand new","300 m","Breitling 24","636","",""
"1773071530-70","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Datejust 31mm Steel & White gold Pink Dial Diamond bezel Jubilee Bracelet","Rolex","","","","","Rolex","278344rbr","Female","Automatic","31","Steel, White gold, Diamonds","Bracelet","Mechanical self-winding, Date","Brand new","100 m","Caliber Rolex 2236","15859","",""
"1773071530-71","https://watchlab.ae/catalog/watch/","Our price:                                                                        33 000 AED","Cartier Panthere de Cartier Mini Steel Custom Diamonds","Cartier","","","","","Cartier","WSPN0012 FIX (WSPN0019 fix)","Female","Quartz","18","Steel, Diamonds","Bracelet","Quartz","Brand new","","","907","",""
"1773071530-72","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST                                                                                                                                 Retail price:  40 138 AED","Franck Muller Vanguard Racing Green Steel 45mm","Franck Muller","","","","","Franck Muller","V 45 SC DT AC RCG VR","Male","Automatic","44","Steel","Leather","Mechanical self-winding, Date","Brand new","30 m","","7064","Barrel",""
"1773071530-73","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Datejust 36mm Steel & White Gold White Roman Dial Jubilee Bracelet","Rolex","","","","","Rolex","126234","Unisex","Automatic","36","Steel, White gold","Bracelet","Mechanical self-winding, Date","Brand new","100 m","3235","16573","",""
"1773071530-74","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Datejust 31mm Steel & Yellow Gold Dark MoP Diamond Dial Diamond Bezel Oyster Bracelet","Rolex","","","","","Rolex","278383rbr","Female","Automatic","31","Steel, Yellow Gold","Bracelet","Mechanical self-winding, Date","Brand new","100 m","2236","16400","",""
